2002|64
2003|67
2000|68
2001|69
2006|80
2007|64
2004|70
2005|85
2008|63
2009|61
1987|59
1986|63
1985|62
1984|60
1991|61
1990|73
1989|81
1988|77
1995|74
1994|60
1993|72
1992|66
1999|60
1998|67
1997|66
1996|69
1972|70
1973|64
1974|74
1975|71
1968|91
1969|78
1970|100
1971|79
1980|77
1981|65
1982|63
1983|55
1976|45
1977|57
1978|53
1979|53
1957|21
1956|26
1959|19
1958|25
1953|35
1952|34
1955|29
1954|35
1965|23
1964|25
1967|174
1966|32
1961|36
1960|20
1963|23
1962|36
1950|30
1951|30
1948|94
1949|120
1946|161
1947|40

